shouldblock,method,third_party,string_leaked
True,post,www.facebook.com,eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039
False,get,49111d8f.de.ioam.de,Illinois
False,get,49111d8f.de.ioam.de,Illinois
False,get,86668d4d.de.ioam.de,Illinois
False,get,securepubads.g.doubleclick.net,Illinois
False,get,ad.yieldlab.net,Illinois
False,get,ad.yieldlab.net,Illinois
False,get,ad.yieldlab.net,Illinois
False,get,ad.yieldlab.net,Illinois
False,get,ad.yieldlab.net,Illinois
False,get,ad.yieldlab.net,Illinois
False,get,ad.yieldlab.net,Illinois
False,get,ad.yieldlab.net,Illinois
False,get,c9d55e36.de.ioam.de,Illinois
False,get,securepubads.g.doubleclick.net,Illinois
False,get,c9d55e36.de.ioam.de,Illinois
False,get,securepubads.g.doubleclick.net,Illinois
False,get,49111d8f.de.ioam.de,Illinois
False,get,49111d8f.de.ioam.de,Illinois
False,get,86668d4d.de.ioam.de,Illinois
False,get,securepubads.g.doubleclick.net,Illinois
False,get,ad.yieldlab.net,Illinois
False,get,ad.yieldlab.net,Illinois
False,get,ad.yieldlab.net,Illinois
False,get,ad.yieldlab.net,Illinois
False,get,ad.yieldlab.net,Illinois
False,get,ad.yieldlab.net,Illinois
False,get,ad.yieldlab.net,Illinois
False,get,ad.yieldlab.net,Illinois
False,get,c9d55e36.de.ioam.de,Illinois
False,get,securepubads.g.doubleclick.net,Illinois
False,get,c9d55e36.de.ioam.de,Illinois
False,get,securepubads.g.doubleclick.net,Illinois
False,post,forms.hsforms.com,roger
False,post,forms.hsforms.com,roger
False,post,forms.hsforms.com,nadal
False,post,forms.hsforms.com,nadal
False,post,forms.hsforms.com,rogernadal
False,post,forms.hsforms.com,rogernadal
False,post,forms.hsforms.com,rogernadal322
False,post,forms.hsforms.com,rogernadal322
False,post,forms.hsforms.com,rogernadal322@gmail.com
False,post,forms.hsforms.com,rogernadal322@gmail.com
False,post,forms.hsforms.com,60201
False,post,forms.hsforms.com,60201
False,post,forms.hsforms.com,8729858970
False,post,forms.hsforms.com,8729858970
True,get,www.facebook.com,65230662bf225a90fbbc3857600d54b3cd08242b3acacbde461ddda6c2d60520
True,get,www.facebook.com,65230662bf225a90fbbc3857600d54b3cd08242b3acacbde461ddda6c2d60520
True,get,www.facebook.com,65230662bf225a90fbbc3857600d54b3cd08242b3acacbde461ddda6c2d60520
True,get,www.facebook.com,65230662bf225a90fbbc3857600d54b3cd08242b3acacbde461ddda6c2d60520
True,get,www.facebook.com,65230662bf225a90fbbc3857600d54b3cd08242b3acacbde461ddda6c2d60520
True,get,www.facebook.com,eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039
True,get,www.facebook.com,eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039
True,get,www.facebook.com,eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039
True,get,www.facebook.com,eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039
True,get,www.facebook.com,eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039
False,post,api.permutive.com,60201
False,post,api.permutive.com,60201
False,post,api.permutive.com,60201
False,post,api.permutive.com,60201
False,get,va6-bid.adsrvr.org,60201
False,post,api.permutive.com,60201
False,post,api.permutive.com,60201
False,post,api.permutive.com,60201
False,post,api.permutive.com,60201
False,post,api.permutive.com,60201
False,get,va6-bid.adsrvr.org,60201
False,post,api.permutive.com,60201
False,post,api.permutive.com,Evanston
False,post,api.permutive.com,Evanston
False,post,api.permutive.com,Evanston
False,post,api.permutive.com,Evanston
False,post,api.permutive.com,Evanston
False,post,api.permutive.com,Evanston
False,post,api.permutive.com,Evanston
False,post,api.permutive.com,Evanston
False,post,api.permutive.com,Evanston
False,post,api.permutive.com,Evanston
False,post,api.permutive.com,Illinois
False,post,api.permutive.com,Illinois
False,post,api.permutive.com,Illinois
False,post,api.permutive.com,Illinois
False,post,api.permutive.com,Illinois
False,post,api.permutive.com,Illinois
False,post,api.permutive.com,Illinois
False,post,api.permutive.com,Illinois
False,post,api.permutive.com,Illinois
False,post,api.permutive.com,Illinois
False,get,ads.sparkflow.net,NjAyMD
False,get,ads.sparkflow.net,SWxsaW5vaX
False,post,tribune.signon.trb.com,roger
False,post,tribune.signon.trb.com,roger
