usnews.com/, general news, yes, yes, roger, hashing, post, api.sail-track.com, requires_authentication
usnews.com/, general news, yes, yes, nadal, hashing, post, api.sail-track.com, requires_authentication
usnews.com/, general news, yes, yes, rogernadal, hashing, post, api.sail-track.com, requires_authentication
usnews.com/, general news, yes, yes, rogernadal322, hashing, post, api.sail-track.com, requires_authentication
usnews.com/, general news, yes, yes, rogernadal322@gmail.com, hashing, post, api.sail-track.com, requires_authentication
usnews.com/, general news, yes, yes, b47b636ac3fcb606572fe960f38b703f, hashing, get, www.google-analytics.com, requires_authentication
usnews.com/, general news, yes, yes, b47b636ac3fcb606572fe960f38b703f, hashing, post, api.permutive.com, requires_authentication
usnews.com/, general news, yes, yes, b47b636ac3fcb606572fe960f38b703f, hashing, get, api.rlcdn.com, requires_authentication
usnews.com/, general news, yes, yes, b47b636ac3fcb606572fe960f38b703f, hashing, post, www.google-analytics.com, requires_authentication
usnews.com/, general news, yes, yes, eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039, hashing, post, tk.amazon-adsystem.com, requires_authentication
usnews.com/, general news, yes, yes, eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039, hashing, post, api.permutive.com, requires_authentication
usnews.com/, general news, yes, yes, eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039, hashing, get, api.rlcdn.com, requires_authentication
usnews.com/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication
usnews.com/, general news, yes, yes, 60201, hashing, get, www.google-analytics.com, requires_authentication
usnews.com/, general news, yes, yes, 60201, hashing, post, www.google-analytics.com, requires_authentication
usnews.com/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication
usnews.com/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication
