,Unnamed: 0,first_party,pageref,third_party,third_party_url,http_method,startedDateTime,leak_method,encoding,plain_pii,raw_pii,where,key,value,mimeType,text,index,cloaking,cloak_list
0,2,starwars.com,,go.com,https://registerdisney.go.com/jgc/v8/client/DI-STARWARS.WEB-PROD/guest-flow?langPref=en-US&feature=no-password-reuse,POST,2023-02-26T08:16:45.555Z,post,plaintext,rogernadal322@gmail.com,,body,,,application/json,"{""email"":""rogernadal322@gmail.com""}",10.0,False,['registerdisney.go.com']
1,3,starwars.com,,go.com,https://registerdisney.go.com/jgc/v8/client/DI-STARWARS.WEB-PROD/guest/login?langPref=en-US&feature=no-password-reuse,POST,2023-02-26T08:17:08.518Z,post,plaintext,rogernadal322@gmail.com,,body,,,application/json,"{""loginValue"":""rogernadal322@gmail.com"",""password"":""123Andy#!000""}",15.0,False,['registerdisney.go.com']
2,4,starwars.com,,go.com,https://registerdisney.go.com/jgc/v8/client/DI-STARWARS.WEB-PROD/guest/login?langPref=en-US&feature=no-password-reuse,POST,2023-02-26T08:17:08.518Z,post,plaintext,123Andy#!000,,body,,,application/json,"{""loginValue"":""rogernadal322@gmail.com"",""password"":""123Andy#!000""}",52.0,False,['registerdisney.go.com']
3,10,boardgamegeek.com,https://boardgamegeek.com/,boardgamegeek.com,https://api.geekdo.com/api/accounts/validate/username?username=rogernadal322,GET,2023-02-26T08:42:39.196Z,get,plaintext,rogernadal322,,value,username,rogernadal322,,,0.0,True,"['api.geekdo.com', 'boardgamegeek.com']"
4,11,boardgamegeek.com,https://boardgamegeek.com/,boardgamegeek.com,https://api.geekdo.com/api/accounts/validate/username?username=rogernadal322,GET,2023-02-26T08:42:39.196Z,header,plaintext,rogernadal322,,value,:path,/api/accounts/validate/username?username=rogernadal322,,,41.0,True,"['api.geekdo.com', 'boardgamegeek.com']"
5,13,comedycentral.com,https://comedycentralstore.com/account,comedycentralstore.com,https://comedycentralstore.com/account,POST,2023-02-26T08:38:57.943Z,post,plaintext,rogernadal322@gmail.com,,body,,,application/x-www-form-urlencoded,form_type=create_customer&utf8=%E2%9C%93&customer%5Bfirst_name%5D=roger&customer%5Blast_name%5D=nadal&customer%5Bemail%5D=rogernadal322%40gmail.com&customer%5Bpassword%5D=123Andy%23%21000&recaptcha-v3-token=03AFY_a8ULOKAgSB6NcqeSucq2XTio3GxgTYa4RFvC7Blyr-xmR3pp8F_JzLvZdWB0OWqpaFuYxlPH4r9jWJXWWpDHcnOh8s1HEqfDUqqlGevtBe9mHzDTnKap6BJ1GImZ0zW_VpavpUEVHGt7f2CQNwRrtj49ex0UwUKFy6MbqyI6AGYiL5_kTwU9LWc2Ps6XIdrEIqsAXpoLTBH_cjBMcDau4wPPR68uk7h55gbGwNHlLDdAnG3etZT_YCqkbVp4NFy0tq4E_BtEvJEzOT7f9r1x6n-vYuyZf6IxGuQym-4ELfX5iOQkhZNvXcdicHOVNeKHAjAbray0rEs9bOits3NHgwoIcTC1rLAhRlYYAJ8Z5AqNmjrMR8pPlosOK4bSLj6G6DtXSYhOVaMG1aDy-HTB2pj4dGTbG151oCF-LufNRZgeamjdpACBJOSVK7i9KfaNwmTKFlf3xzjb82nrNdYCG9GNXx3r26ppbE82e_ULGgYIniP1tRWtcN-W8UHf6NSBupaNyvMPRApu9ifFQ1L4HZqzTzLo1Q,102.0,False,['comedycentralstore.com']
6,14,comedycentral.com,https://comedycentralstore.com/account,comedycentralstore.com,https://comedycentralstore.com/account,POST,2023-02-26T08:38:57.943Z,post,plaintext,123Andy#!000,,body,,,application/x-www-form-urlencoded,form_type=create_customer&utf8=%E2%9C%93&customer%5Bfirst_name%5D=roger&customer%5Blast_name%5D=nadal&customer%5Bemail%5D=rogernadal322%40gmail.com&customer%5Bpassword%5D=123Andy%23%21000&recaptcha-v3-token=03AFY_a8ULOKAgSB6NcqeSucq2XTio3GxgTYa4RFvC7Blyr-xmR3pp8F_JzLvZdWB0OWqpaFuYxlPH4r9jWJXWWpDHcnOh8s1HEqfDUqqlGevtBe9mHzDTnKap6BJ1GImZ0zW_VpavpUEVHGt7f2CQNwRrtj49ex0UwUKFy6MbqyI6AGYiL5_kTwU9LWc2Ps6XIdrEIqsAXpoLTBH_cjBMcDau4wPPR68uk7h55gbGwNHlLDdAnG3etZT_YCqkbVp4NFy0tq4E_BtEvJEzOT7f9r1x6n-vYuyZf6IxGuQym-4ELfX5iOQkhZNvXcdicHOVNeKHAjAbray0rEs9bOits3NHgwoIcTC1rLAhRlYYAJ8Z5AqNmjrMR8pPlosOK4bSLj6G6DtXSYhOVaMG1aDy-HTB2pj4dGTbG151oCF-LufNRZgeamjdpACBJOSVK7i9KfaNwmTKFlf3xzjb82nrNdYCG9GNXx3r26ppbE82e_ULGgYIniP1tRWtcN-W8UHf6NSBupaNyvMPRApu9ifFQ1L4HZqzTzLo1Q,145.0,False,['comedycentralstore.com']
7,15,comedycentral.com,https://comedycentralstore.com/account,comedycentralstore.com,https://comedycentralstore.com/.well-known/shopify/monorail/v1/produce,POST,2023-02-26T08:39:02.466Z,cookie,plaintext,rogernadal322@gmail.com,,value,swym-email,"""rogernadal322@gmail.com""",,,1.0,False,['comedycentralstore.com']
8,16,comedycentral.com,https://comedycentralstore.com/account,comedycentralstore.com,https://comedycentralstore.com/.well-known/shopify/monorail/v1/produce,POST,2023-02-26T08:39:02.466Z,header,plaintext,rogernadal322@gmail.com,,value,cookie,"localization=US; cart_currency=USD; _orig_referrer=https://www.cc.com/; _landing_page=/?utm_source=cc&utm_medium=referral&utm_campaign=top-nav; _y=f6878947-aec5-45ab-a54f-45b1fac804ca; _s=ed705a40-e2b9-4f03-ac90-67b2d5135e77; _shopify_y=f6878947-aec5-45ab-a54f-45b1fac804ca; _shopify_s=ed705a40-e2b9-4f03-ac90-67b2d5135e77; _gcl_au=1.1.1197319527.1677400708; _shopify_sa_p=utm_source=cc&utm_medium=referral&utm_campaign=top-nav; _gid=GA1.2.1610904398.1677400709; _gat=1; shopify_pay_redirect=pending; _fbp=fb.1.1677400708805.904276601; swym-session-id=""alwaxqd9tg9opjrv9u0ade16ol6byl3pl6nh4r70pdndmuukopuap6j3stl2w3up""; swym-pid=""S3UnS6nfHpYBhgSQP0GmcFLKZd5pSuXOQNQILtL/LtU=""; _schn=_lcb4hf; _scid=d287f404-cbea-42f5-8b10-8ca13a0ab853; _sctr=1|1677391200000; swym-o_s=true; swym-cu_ct=undefined; swym-instrumentMap={}; _secure_session_id=25fda6f8a0edf0bafa40f75698deea3d; customer_auth_session_created_at=2023-02-26+08:38:59+UTC; customer_auth_provider=shopify_core; _storefront_u=eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9KZEhsd1pWc0dTU0lVWTNWemRHOXRaWEpmWTNKbFlYUmxCam9HUlZRNkVHaGhjSEJsYm1Wa1gyRjBaaGN4TmpjM05EQXdOek01TGpjeU1UUTRNRGc9IiwiZXhwIjoiMjAyMy0wMi0yNlQwODozOTo1OS43MjFaIiwicHVyIjoiY29va2llLl9zdG9yZWZyb250X3UifX0=--ac70c850bd5a5a66ec3db5a70fc53668e3111d63; cart_sig=259b56dda86de00af398ed1e532d16c5; secure_customer_sig=0ec02d8ce159d43fb91e05b8774a2d33; _cmp_a={""purposes"":{""a"":true,""p"":true,""m"":true,""t"":true},""display_banner"":false,""merchant_geo"":""US"",""sale_of_data_region"":false}; _ga_8EQ9YELZF1=GS1.1.1677400708.1.1.1677400740.0.0.0; _shopify_sa_t=2023-02-26T08:39:00.970Z; _ga=GA1.2.1731546431.1677400708; keep_alive=b6194338-d27d-4da7-9d3a-35ce9d7c1f72; __kla_id=eyIkcmVmZXJyZXIiOnsidHMiOjE2Nzc0MDA3MTAsInZhbHVlIjoiaHR0cHM6Ly93d3cuY2MuY29tLyIsImZpcnN0X3BhZ2UiOiJodHRwczovL2NvbWVkeWNlbnRyYWxzdG9yZS5jb20vP3V0bV9zb3VyY2U9Y2MmdXRtX21lZGl1bT1yZWZlcnJhbCZ1dG1fY2FtcGFpZ249dG9wLW5hdiJ9LCIkbGFzdF9yZWZlcnJlciI6eyJ0cyI6MTY3NzQwMDc0MiwidmFsdWUiOiJodHRwczovL3d3dy5jYy5jb20vIiwiZmlyc3RfcGFnZSI6Imh0dHBzOi8vY29tZWR5Y2VudHJhbHN0b3JlLmNvbS8/dXRtX3NvdXJjZT1jYyZ1dG1fbWVkaXVtPXJlZmVycmFsJnV0bV9jYW1wYWlnbj10b3AtbmF2In19; swym-email=""rogernadal322@gmail.com""; swym-swymRegid=""0dOFuuEAnwif5eaET7QvNASi4ZZ9Fwu9XJY-kqmXn8DNaIrrRZNPNegh_sMfC1T0riMGzeSkaS1R7a41y5R5irgvaXuLlxG9kfufZLX91q6jxZj5E10HAZRcIrRyXzoTW5W3qAimNd2J1f8JEMoAkhe2Ss03oFljVrqvBiDd6ahPmwMXiQ1FkHJscJnwmKEDJNbCVLVBG0qjJn8cWSNz2w""",,,2131.0,False,['comedycentralstore.com']
9,17,comedycentral.com,https://comedycentralstore.com/collections/all-products,comedycentralstore.com,https://comedycentralstore.com/collections/all-products,GET,2023-02-26T08:39:14.606Z,cookie,plaintext,rogernadal322@gmail.com,,value,swym-email,"""rogernadal322@gmail.com""",,,1.0,False,['comedycentralstore.com']
