,Unnamed: 0,first_party,pageref,third_party,third_party_url,http_method,startedDateTime,leak_method,encoding,plain_pii,raw_pii,where,key,value,mimeType,text,index,cloaking,cloak_list,easyprivacy.txt,combined_disguised_trackers.txt,combined_disguised_ads.txt
0,0,,,,,,,,,,,,,,,,,,[],False,False,False
1,1,starwars.com,,,,,,,,,,,,,,,,,[],False,False,False
2,2,starwars.com,,registerdisney.go.com,https://registerdisney.go.com/jgc/v8/client/DI-STARWARS.WEB-PROD/guest-flow?langPref=en-US&feature=no-password-reuse,POST,2023-02-26T08:16:45.555Z,post,plaintext,rogernadal322@gmail.com,,body,,,application/json,"{""email"":""rogernadal322@gmail.com""}",10.0,False,['registerdisney.go.com'],False,False,False
3,3,starwars.com,,registerdisney.go.com,https://registerdisney.go.com/jgc/v8/client/DI-STARWARS.WEB-PROD/guest/login?langPref=en-US&feature=no-password-reuse,POST,2023-02-26T08:17:08.518Z,post,plaintext,rogernadal322@gmail.com,,body,,,application/json,"{""loginValue"":""rogernadal322@gmail.com"",""password"":""123Andy#!000""}",15.0,False,['registerdisney.go.com'],False,False,False
4,4,starwars.com,,registerdisney.go.com,https://registerdisney.go.com/jgc/v8/client/DI-STARWARS.WEB-PROD/guest/login?langPref=en-US&feature=no-password-reuse,POST,2023-02-26T08:17:08.518Z,post,plaintext,123Andy#!000,,body,,,application/json,"{""loginValue"":""rogernadal322@gmail.com"",""password"":""123Andy#!000""}",52.0,False,['registerdisney.go.com'],False,False,False
5,5,hypebeast.com,,,,,,,,,,,,,,,,,[],False,False,False
6,6,hypebeast.com,https://hypebeast.com/2023/2/tom-cruise-marvel-studios-iron-man-role-rumors-response-info,api.permutive.com,https://api.permutive.com/v2.0/batch/events?enrich=false&sdkp=true&k=919e734f-ccf8-4682-8bdd-bf3e30f900d4,POST,2023-02-26T08:35:13.377Z,post,plaintext,Evanston,,body,,,text/plain,"[{""user_id"":""65e78a3d-da96-4488-9a38-eebb82aedb74"",""name"":""Pageview"",""cohorts"":[""106032"",""110667"",""110679"",""131581"",""131989""],""segments"":[106032,110667,110679,131581,131989],""properties"":{""isp_info"":{""isp"":""Northwestern University"",""organization"":""Northwestern University"",""autonomous_system_number"":103,""autonomous_system_organization"":""NWU-AS""},""geo_info"":{""continent"":""North America"",""country"":""United States"",""city"":""Evanston"",""province"":""Illinois"",""postal_code"":""60201""},""classifications_watson"":{""categories"":[{""label"":""/art and entertainment/comics and animation/comics"",""score"":0.89694},{""label"":""/art and entertainment/movies and tv/movies"",""score"":0.86865},{""label"":""/art and entertainment/movies and tv/movies/reviews"",""score"":0.774505}],""keywords"":[{""text"":""Doctor Strange"",""relevance"":0.769404},{""text"":""Marvel Cinematic Universe"",""relevance"":0.721974},{""text"":""alternate universe version of Iron Man"",""relevance"":0.715985},{""text"":""entertainment news"",""relevance"":0.705738},{""text"":""rumors of the actor"",""relevance"":0.692981},{""text"":""Marvel Studios"",""relevance"":0.685245},{""text"":""Tom Cruise"",""relevance"":0.684001},{""text"":""Steven Yeun"",""relevance"":0.66854},{""text"":""Robert Downey Jr."",""relevance"":0.630765},{""text"":""cast of Marvel Studios"",""relevance"":0.591217},{""text"":""rumors of Cruise"",""relevance"":0.560717},{""text"":""Multiverse of Madness"",""relevance"":0.553548},{""text"":""Iron Man"",""relevance"":0.540416},{""text"":""interview"",""relevance"":0.528226},{""text"":""fans"",""relevance"":0.526039},{""text"":""Phase"",""relevance"":0.518807},{""text"":""actor"",""relevance"":0.518697},{""text"":""MCU"",""relevance"":0.517892},{""text"":""role"",""relevance"":0.517788},{""text"":""entry"",""relevance"":0.516779},{""text"":""rumors"",""relevance"":0.5162},{""text"":""movie"",""relevance"":0.513091},{""text"":""Cruise"",""relevance"":0.511642},{""text"":""audience"",""relevance"":0.511206},{""text"":""situation"",""relevance"":0.508897},{""text"":""superhero"",""relevance"":0.506128},{""text"":""story"",""relevance"":0.506128},{""text"":""character"",""relevance"":0.506128},{""text"":""things"",""relevance"":0.506128},{""text"":""Thunderbolts"",""relevance"":0.506128}]},""user"":{""language"":""en"",""login_status"":false,""adblocker"":false,""dark_mode"":false},""page"":{""type"":""article""},""article"":{""author"":""Nicolaus Li"",""brands"":[],""categories"":[""Entertainment"",""SG"",""AU""],""id"":""5983184"",""language"":""en"",""publish_date"":""2023-02-24T23:11:52-05:00"",""subtitle"":""The actor finally addresses fans."",""tags"":[""Iron Man"",""Tom Cruise"",""Marvel Studios"",""Marvel Cinematic Universe""],""title"":""Tom Cruise Responds to Marvel Studios Iron Man Role Rumors"",""type"":""editorial"",""subtype"":""gallery""},""client"":{""type"":""web"",""user_agent"":""Mozilla/5.0 (X11; Fedora; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"",""url"":""https://hypebeast.com/2023/2/tom-cruise-marvel-studios-iron-man-role-rumors-response-info"",""domain"":""hypebeast.com"",""title"":""Tom Cruise Responds to Iron Man Role Rumors | Hypebeast"",""referrer"":""https://hypebeast.com""}},""session_id"":""4ea6de5c-ce4f-4b38-94b7-d56ea031471b"",""view_id"":""57ff12d5-4590-42ec-acac-8577725f21ca""}]",421.0,False,['api.permutive.com'],False,False,False
7,7,hypebeast.com,https://hypebeast.com/2023/2/tom-cruise-marvel-studios-iron-man-role-rumors-response-info,api.permutive.com,https://api.permutive.com/v2.0/batch/events?enrich=false&sdkp=true&k=919e734f-ccf8-4682-8bdd-bf3e30f900d4,POST,2023-02-26T08:35:13.377Z,post,plaintext,Illinois,,body,,,text/plain,"[{""user_id"":""65e78a3d-da96-4488-9a38-eebb82aedb74"",""name"":""Pageview"",""cohorts"":[""106032"",""110667"",""110679"",""131581"",""131989""],""segments"":[106032,110667,110679,131581,131989],""properties"":{""isp_info"":{""isp"":""Northwestern University"",""organization"":""Northwestern University"",""autonomous_system_number"":103,""autonomous_system_organization"":""NWU-AS""},""geo_info"":{""continent"":""North America"",""country"":""United States"",""city"":""Evanston"",""province"":""Illinois"",""postal_code"":""60201""},""classifications_watson"":{""categories"":[{""label"":""/art and entertainment/comics and animation/comics"",""score"":0.89694},{""label"":""/art and entertainment/movies and tv/movies"",""score"":0.86865},{""label"":""/art and entertainment/movies and tv/movies/reviews"",""score"":0.774505}],""keywords"":[{""text"":""Doctor Strange"",""relevance"":0.769404},{""text"":""Marvel Cinematic Universe"",""relevance"":0.721974},{""text"":""alternate universe version of Iron Man"",""relevance"":0.715985},{""text"":""entertainment news"",""relevance"":0.705738},{""text"":""rumors of the actor"",""relevance"":0.692981},{""text"":""Marvel Studios"",""relevance"":0.685245},{""text"":""Tom Cruise"",""relevance"":0.684001},{""text"":""Steven Yeun"",""relevance"":0.66854},{""text"":""Robert Downey Jr."",""relevance"":0.630765},{""text"":""cast of Marvel Studios"",""relevance"":0.591217},{""text"":""rumors of Cruise"",""relevance"":0.560717},{""text"":""Multiverse of Madness"",""relevance"":0.553548},{""text"":""Iron Man"",""relevance"":0.540416},{""text"":""interview"",""relevance"":0.528226},{""text"":""fans"",""relevance"":0.526039},{""text"":""Phase"",""relevance"":0.518807},{""text"":""actor"",""relevance"":0.518697},{""text"":""MCU"",""relevance"":0.517892},{""text"":""role"",""relevance"":0.517788},{""text"":""entry"",""relevance"":0.516779},{""text"":""rumors"",""relevance"":0.5162},{""text"":""movie"",""relevance"":0.513091},{""text"":""Cruise"",""relevance"":0.511642},{""text"":""audience"",""relevance"":0.511206},{""text"":""situation"",""relevance"":0.508897},{""text"":""superhero"",""relevance"":0.506128},{""text"":""story"",""relevance"":0.506128},{""text"":""character"",""relevance"":0.506128},{""text"":""things"",""relevance"":0.506128},{""text"":""Thunderbolts"",""relevance"":0.506128}]},""user"":{""language"":""en"",""login_status"":false,""adblocker"":false,""dark_mode"":false},""page"":{""type"":""article""},""article"":{""author"":""Nicolaus Li"",""brands"":[],""categories"":[""Entertainment"",""SG"",""AU""],""id"":""5983184"",""language"":""en"",""publish_date"":""2023-02-24T23:11:52-05:00"",""subtitle"":""The actor finally addresses fans."",""tags"":[""Iron Man"",""Tom Cruise"",""Marvel Studios"",""Marvel Cinematic Universe""],""title"":""Tom Cruise Responds to Marvel Studios Iron Man Role Rumors"",""type"":""editorial"",""subtype"":""gallery""},""client"":{""type"":""web"",""user_agent"":""Mozilla/5.0 (X11; Fedora; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"",""url"":""https://hypebeast.com/2023/2/tom-cruise-marvel-studios-iron-man-role-rumors-response-info"",""domain"":""hypebeast.com"",""title"":""Tom Cruise Responds to Iron Man Role Rumors | Hypebeast"",""referrer"":""https://hypebeast.com""}},""session_id"":""4ea6de5c-ce4f-4b38-94b7-d56ea031471b"",""view_id"":""57ff12d5-4590-42ec-acac-8577725f21ca""}]",443.0,False,['api.permutive.com'],False,False,False
8,8,hypebeast.com,https://hypebeast.com/2023/2/tom-cruise-marvel-studios-iron-man-role-rumors-response-info,api.permutive.com,https://api.permutive.com/v2.0/batch/events?enrich=false&sdkp=true&k=919e734f-ccf8-4682-8bdd-bf3e30f900d4,POST,2023-02-26T08:35:13.377Z,post,plaintext,60201,,body,,,text/plain,"[{""user_id"":""65e78a3d-da96-4488-9a38-eebb82aedb74"",""name"":""Pageview"",""cohorts"":[""106032"",""110667"",""110679"",""131581"",""131989""],""segments"":[106032,110667,110679,131581,131989],""properties"":{""isp_info"":{""isp"":""Northwestern University"",""organization"":""Northwestern University"",""autonomous_system_number"":103,""autonomous_system_organization"":""NWU-AS""},""geo_info"":{""continent"":""North America"",""country"":""United States"",""city"":""Evanston"",""province"":""Illinois"",""postal_code"":""60201""},""classifications_watson"":{""categories"":[{""label"":""/art and entertainment/comics and animation/comics"",""score"":0.89694},{""label"":""/art and entertainment/movies and tv/movies"",""score"":0.86865},{""label"":""/art and entertainment/movies and tv/movies/reviews"",""score"":0.774505}],""keywords"":[{""text"":""Doctor Strange"",""relevance"":0.769404},{""text"":""Marvel Cinematic Universe"",""relevance"":0.721974},{""text"":""alternate universe version of Iron Man"",""relevance"":0.715985},{""text"":""entertainment news"",""relevance"":0.705738},{""text"":""rumors of the actor"",""relevance"":0.692981},{""text"":""Marvel Studios"",""relevance"":0.685245},{""text"":""Tom Cruise"",""relevance"":0.684001},{""text"":""Steven Yeun"",""relevance"":0.66854},{""text"":""Robert Downey Jr."",""relevance"":0.630765},{""text"":""cast of Marvel Studios"",""relevance"":0.591217},{""text"":""rumors of Cruise"",""relevance"":0.560717},{""text"":""Multiverse of Madness"",""relevance"":0.553548},{""text"":""Iron Man"",""relevance"":0.540416},{""text"":""interview"",""relevance"":0.528226},{""text"":""fans"",""relevance"":0.526039},{""text"":""Phase"",""relevance"":0.518807},{""text"":""actor"",""relevance"":0.518697},{""text"":""MCU"",""relevance"":0.517892},{""text"":""role"",""relevance"":0.517788},{""text"":""entry"",""relevance"":0.516779},{""text"":""rumors"",""relevance"":0.5162},{""text"":""movie"",""relevance"":0.513091},{""text"":""Cruise"",""relevance"":0.511642},{""text"":""audience"",""relevance"":0.511206},{""text"":""situation"",""relevance"":0.508897},{""text"":""superhero"",""relevance"":0.506128},{""text"":""story"",""relevance"":0.506128},{""text"":""character"",""relevance"":0.506128},{""text"":""things"",""relevance"":0.506128},{""text"":""Thunderbolts"",""relevance"":0.506128}]},""user"":{""language"":""en"",""login_status"":false,""adblocker"":false,""dark_mode"":false},""page"":{""type"":""article""},""article"":{""author"":""Nicolaus Li"",""brands"":[],""categories"":[""Entertainment"",""SG"",""AU""],""id"":""5983184"",""language"":""en"",""publish_date"":""2023-02-24T23:11:52-05:00"",""subtitle"":""The actor finally addresses fans."",""tags"":[""Iron Man"",""Tom Cruise"",""Marvel Studios"",""Marvel Cinematic Universe""],""title"":""Tom Cruise Responds to Marvel Studios Iron Man Role Rumors"",""type"":""editorial"",""subtype"":""gallery""},""client"":{""type"":""web"",""user_agent"":""Mozilla/5.0 (X11; Fedora; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"",""url"":""https://hypebeast.com/2023/2/tom-cruise-marvel-studios-iron-man-role-rumors-response-info"",""domain"":""hypebeast.com"",""title"":""Tom Cruise Responds to Iron Man Role Rumors | Hypebeast"",""referrer"":""https://hypebeast.com""}},""session_id"":""4ea6de5c-ce4f-4b38-94b7-d56ea031471b"",""view_id"":""57ff12d5-4590-42ec-acac-8577725f21ca""}]",468.0,False,['api.permutive.com'],False,False,False
9,9,boardgamegeek.com,,,,,,,,,,,,,,,,,[],False,False,False
