,first_party,pageref,third_party,http_method,startedDateTime,leak_method,encoding,plain_pii,raw_pii,where,key,value,mimeType,text,index
0,,,,,,,,,,,,,,,
1,nike.com,,,,,,,,,,,,,,
2,pvp.net,,,,,,,,,,,,,,
3,pvp.net,,www.facebook.com,GET,2023-02-26T03:46:16.232Z,get,sha256,rogernadal322@gmail.com,,value,udff[em],eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039,,,0
4,pvp.net,,www.facebook.com,GET,2023-02-26T03:46:16.232Z,header,sha256,rogernadal322@gmail.com,,value,:path,"/tr/?id=613770612154492&ev=SubscribedButtonClick&dl=https://signup.leagueoflegends.com/en-us/signup/index#/&rl=https://auth.riotgames.com/&if=false&ts=1677383176231&cd[buttonFeatures]={""classList"":"""",""destination"":""https://signup.leagueoflegends.com/en-us/signup/index#/"",""id"":"""",""imageUrl"":""linear-gradient(rgb(236, 197, 114) 0px, rgb(129, 85, 0))"",""innerText"":""START"",""numChildButtons"":0,""tag"":""button"",""type"":null,""name"":"""",""value"":""""}&cd[buttonText]=START&cd[formFeatures]=[{""id"":"""",""name"":""email"",""tag"":""input"",""inputType"":""email""}]&cd[pageFeatures]={""title"":""League of Legends Sign Up | North America""}&sw=1920&sh=1080&udff[em]=eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039&v=2.9.97&r=stable&ec=2&o=2078&cs_est=true&fbp=fb.1.1677383148869.1249386489&eid=ob3_plugin-set_cd3c1789801dba6726261b8b1e76d611b7ec71484b083bfa1f4abd63fe61b7bd&ic=fbpixel&it=1677383156415&coo=false&es=automatic&tm=3&exp=c1&rqm=GET",,,634
5,pvp.net,,fbconversionsapi.riotgames.com,POST,2023-02-26T03:46:16.681Z,post,sha256,rogernadal322@gmail.com,,body,,,text/plain;charset=UTF-8,"{""event_name"":""PageView"",""custom_data"":{},""event_id"":""ob3_plugin-set_6dd12fa61bbd5e14f3b308a8573f78191e05e429de905caf2aea277397824c3d"",""fb.pixel_id"":""613770612154492"",""fb.advanced_matching"":{""em"":""eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039""},""website_context"":{""location"":""https://signup.leagueoflegends.com/en-us/signup/index#/date-of-birth"",""referrer"":""https://auth.riotgames.com/"",""isInIFrame"":false},""fb.fbp"":""fb.1.1677383148869.1249386489""}",197
6,pvp.net,,www.facebook.com,GET,2023-02-26T03:46:16.682Z,get,sha256,rogernadal322@gmail.com,,value,udff[em],eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039,,,0
7,pvp.net,,www.facebook.com,GET,2023-02-26T03:46:16.682Z,header,sha256,rogernadal322@gmail.com,,value,:path,/tr/?id=613770612154492&ev=PageView&dl=https://signup.leagueoflegends.com/en-us/signup/index#/date-of-birth&rl=https://auth.riotgames.com/&if=false&ts=1677383176641&sw=1920&sh=1080&udff[em]=eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039&v=2.9.97&r=stable&ec=3&o=2078&cs_est=true&fbp=fb.1.1677383148869.1249386489&eid=ob3_plugin-set_6dd12fa61bbd5e14f3b308a8573f78191e05e429de905caf2aea277397824c3d&ic=&it=1677383156415&coo=false&exp=c1&rqm=GET,,,190
8,pvp.net,,www.facebook.com,GET,2023-02-26T03:46:32.323Z,get,sha256,rogernadal322@gmail.com,,value,udff[em],eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039,,,0
9,pvp.net,,www.facebook.com,GET,2023-02-26T03:46:32.323Z,header,sha256,rogernadal322@gmail.com,,value,:path,"/tr/?id=613770612154492&ev=SubscribedButtonClick&dl=https://signup.leagueoflegends.com/en-us/signup/index#/date-of-birth&rl=https://auth.riotgames.com/&if=false&ts=1677383192322&cd[buttonFeatures]={""classList"":"""",""destination"":""https://signup.leagueoflegends.com/en-us/signup/index#/date-of-birth"",""id"":"""",""imageUrl"":""linear-gradient(rgb(236, 197, 114) 0px, rgb(129, 85, 0))"",""innerText"":""NEXT"",""numChildButtons"":0,""tag"":""button"",""type"":null,""name"":"""",""value"":""""}&cd[buttonText]=NEXT&cd[formFeatures]=[{""id"":"""",""name"":""dob-month"",""tag"":""select""},{""id"":"""",""name"":""dob-day"",""tag"":""select""},{""id"":"""",""name"":""dob-year"",""tag"":""select""}]&cd[pageFeatures]={""title"":""League of Legends Sign Up | North America""}&sw=1920&sh=1080&udff[em]=eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039&v=2.9.97&r=stable&ec=4&o=2078&cs_est=true&fbp=fb.1.1677383148869.1249386489&eid=ob3_plugin-set_b77586e95025323c85af15e9524c0d0e7434a8e9cf328dba11be24f080aeb891&ic=fbpixel&it=1677383156415&coo=false&es=automatic&tm=3&exp=c1&rqm=GET",,,728
10,pvp.net,,fbconversionsapi.riotgames.com,POST,2023-02-26T03:46:32.684Z,post,sha256,rogernadal322@gmail.com,,body,,,text/plain;charset=UTF-8,"{""event_name"":""PageView"",""custom_data"":{},""event_id"":""ob3_plugin-set_38464ff78f520d741fdad1f2bb1de94fc2302d8ae5f603105595ca8999837ab6"",""fb.pixel_id"":""613770612154492"",""fb.advanced_matching"":{""em"":""eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039""},""website_context"":{""location"":""https://signup.leagueoflegends.com/en-us/signup/index#/registration"",""referrer"":""https://auth.riotgames.com/"",""isInIFrame"":false},""fb.fbp"":""fb.1.1677383148869.1249386489""}",197
11,pvp.net,,www.facebook.com,GET,2023-02-26T03:46:32.684Z,get,sha256,rogernadal322@gmail.com,,value,udff[em],eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039,,,0
12,pvp.net,,www.facebook.com,GET,2023-02-26T03:46:32.684Z,header,sha256,rogernadal322@gmail.com,,value,:path,/tr/?id=613770612154492&ev=PageView&dl=https://signup.leagueoflegends.com/en-us/signup/index#/registration&rl=https://auth.riotgames.com/&if=false&ts=1677383192659&sw=1920&sh=1080&udff[em]=eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039&v=2.9.97&r=stable&ec=5&o=2078&cs_est=true&fbp=fb.1.1677383148869.1249386489&eid=ob3_plugin-set_38464ff78f520d741fdad1f2bb1de94fc2302d8ae5f603105595ca8999837ab6&ic=&it=1677383156415&coo=false&exp=c1&rqm=GET,,,189
13,pvp.net,,www.facebook.com,GET,2023-02-26T03:47:03.956Z,get,sha256,rogernadal322@gmail.com,,value,udff[em],eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039,,,0
14,pvp.net,,www.facebook.com,GET,2023-02-26T03:47:03.956Z,header,sha256,rogernadal322@gmail.com,,value,:path,"/tr/?id=613770612154492&ev=SubscribedButtonClick&dl=https://signup.leagueoflegends.com/en-us/signup/index#/registration&rl=https://auth.riotgames.com/&if=false&ts=1677383223955&cd[buttonFeatures]={""classList"":"""",""destination"":""https://signup.leagueoflegends.com/en-us/signup/index#/registration"",""id"":"""",""imageUrl"":""linear-gradient(rgb(236, 197, 114) 0px, rgb(129, 85, 0))"",""innerText"":""NEXT"",""numChildButtons"":0,""tag"":""button"",""type"":null,""name"":"""",""value"":""""}&cd[buttonText]=NEXT&cd[formFeatures]=[{""id"":"""",""name"":""username"",""tag"":""input"",""inputType"":""text""},{""id"":"""",""name"":""password"",""tag"":""input"",""inputType"":""password""},{""id"":"""",""name"":""confirm_password"",""tag"":""input"",""inputType"":""password""},{""id"":""tou_agree"",""name"":""tou_agree"",""tag"":""input"",""inputType"":""checkbox""},{""id"":""newsletter"",""name"":""newsletter"",""tag"":""input"",""inputType"":""checkbox""}]&cd[pageFeatures]={""title"":""League of Legends Sign Up | North America""}&sw=1920&sh=1080&udff[em]=eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039&v=2.9.97&r=stable&ec=6&o=2078&cs_est=true&fbp=fb.1.1677383148869.1249386489&eid=ob3_plugin-set_044641402ffcddea149f1a0327ddb759aac16abc354e06d6c8b2d0a1acce9fb6&ic=fbpixel&it=1677383156415&coo=false&es=automatic&tm=3&exp=c1&rqm=GET",,,948
